日期,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3,排名,最高气温,最低气温,天气,Wind_dir,风力
2014/4/10,278,139~473,重度污染,86.5,385.5,27.3,1.275,51.7,77,183,18,11,阴,南风,小于3级
2014/4/11,89,60~157,良,59.6,112.5,16.7,0.964,60.3,107,101,22,11,多云,南风,小于3级
2014/4/12,131,110~150,轻度污染,99.6,135.6,24.8,1.443,75.4,149,156,23,9,多云转晴,南风,小于3级
2014/4/13,204,145~249,重度污染,157.4,190.4,25.4,1.294,71.4,227,176,26,12,霾,南风,小于3级转3-4级
2014/4/14,279,185~328,重度污染,228.9,262.7,32.7,1.894,78.8,224,188,24,16,霾转多云,西南风,小于3级转3-4级
2014/4/15,132,75~185,轻度污染,91.4,142,16.1,0.966,61.3,118,147,21,12,阴转多云,南风,小于3级
2014/4/16,83,69~102,良,51,113.4,11.7,0.74,68.1,93,122,21,12,小雨转阴,东风,小于3级
2014/4/17,122,107~161,轻度污染,91.4,124.5,18.5,1.383,70.5,118,147,19,11,多云,东南风,小于3级
2014/4/18,182,91~231,中度污染,138.1,124.1,16.6,1.538,64.5,140,175,16,12,阴,南风,小于3级
2014/4/19,83,62~99,良,61.4,83.5,14.7,0.776,64.5,90,149,23,8,晴,西南风,小于3级
2014/4/20,83,25~123,良,59.9,79.6,7.4,0.632,53.8,117,107,24,10,多云转晴,西南风,小于3级
2014/4/21,69,37~96,良,48.3,79.3,7.1,0.577,55.7,119,88,26,10,晴,西南风,小于3级
2014/4/22,80,59~110,良,57.9,101.4,9.1,0.582,54.2,163,109,27,12,晴转多云,西南风,小于3级
2014/4/23,153,82~232,中度污染,115.6,147,20.7,0.901,41.3,169,153,26,16,多云转晴,南风,小于3级
2014/4/24,153,90~203,中度污染,115.4,133.5,18.7,0.92,46.9,162,171,24,16,多云转雷阵雨,东南风,小于3级
2014/4/25,175,85~228,中度污染,129.4,189.7,20.3,1.027,68.7,206,178,23,12,阵雨转晴,西北风,小于3级
2014/4/26,66,30~95,良,37.4,82.2,4,0.35,27.6,94,94,26,9,晴转多云,南风,小于3级
2014/4/27,76,50~129,良,51,93,6.4,0.633,47.7,143,113,25,11,多云转晴,南风,小于3级
2014/4/28,84,57~133,良,61.4,97.9,8,0.715,49.1,159,122,28,11,晴,西南风,小于3级
2014/4/29,119,95~141,轻度污染,89.3,143.3,17.1,0.936,67.8,197,161,29,13,晴,西南风,小于3级
2014/4/30,139,119~192,轻度污染,102.7,158.2,19.1,0.974,67,217,165,29,16,晴转雷阵雨,西南风,小于3级转4-5级
2014/5/1,167,55~221,中度污染,121,186.3,18.6,0.846,41,199,159,23,14,阵雨转多云,北风,4-5级
2014/5/2,49,34~86,优,22.5,46,2.9,0.287,21.1,100,32,24,12,阴,西南风,小于3级转4-5级
2014/5/3,94,53~294,良,37.7,127.3,6,0.424,43.3,97,99,19,10,扬沙转晴,西北风,5-6级转4-5级
2014/5/4,55,40~85,良,25.8,59.4,3.4,0.343,17.2,91,59,21,7,晴转多云,南风,小于3级转3-4级
2014/5/5,50,25~69,良,23,52.9,3.6,0.425,36,105,55,21,8,多云转雷阵雨,南风,小于3级
2014/5/6,100,67~146,良,73.8,124.4,26.9,0.917,61.5,131,136,25,10,雷阵雨转晴,东风,小于3级转3-4级
2014/5/7,96,49~161,良,62.8,102.2,11.8,0.905,45,109,100,23,12,晴转阴,东风,小于3级
2014/5/8,103,83~134,轻度污染,74.5,107.5,15.5,0.994,46.1,174,125,20,14,多云转阵雨,东风,小于3级
2014/5/9,88,70~105,良,61.2,106.1,32.6,1.298,52,120,120,20,15,阴转阵雨,东风,小于3级
2014/5/10,72,61~84,良,50.3,87.1,27.2,1.173,50.1,108,136,16,10,中雨转小雨,东南风,小于3级
2014/5/11,45,31~64,优,24,20.1,3.3,0.825,29.4,102,68,29,8,阴转晴,西风,小于3级
2014/5/12,61,39~106,良,34.4,68.4,6.8,0.646,43.9,146,68,29,16,晴转多云,西南风,小于3级转3-4级
2014/5/13,89,68~135,良,51.6,123.6,9.9,0.657,57,127,109,24,16,晴转多云,北风,3-4级转4-5级
2014/5/14,55,34~104,良,17.3,62.8,7.3,0.289,26,93,56,28,10,晴转多云,西南风,小于3级
2014/5/15,116,60~208,轻度污染,59.4,181,7.3,0.547,60.6,126,137,28,16,扬沙转多云,东南风,小于3级
2014/5/16,90,36~144,良,44.8,121.2,9.5,0.552,48.6,133,97,28,15,晴转多云,南风,小于3级
2014/5/17,99,73~123,良,56.3,120.3,24.6,0.98,59.8,215,120,30,16,多云转晴,西南风,小于3级
2014/5/18,110,63~202,轻度污染,77,141.7,23.4,0.935,55.9,258,136,31,19,雷阵雨转晴,南风,小于3级转3-4级
2014/5/19,142,90~205,轻度污染,106,158.5,14.5,0.991,44.5,246,156,31,17,晴转多云,东北风,小于3级
2014/5/20,121,40~244,轻度污染,78.9,129.8,9.2,0.891,45.9,170,107,33,18,晴,东南风,小于3级
2014/5/21,142,107~197,轻度污染,107.2,168.3,25.3,1.459,52.7,267,145,35,19,晴,东南风,小于3级转3-4级
2014/5/22,190,93~334,中度污染,136.2,195.8,36.7,1.414,61.4,261,166,33,22,晴转阴,南风,小于3级
2014/5/23,127,97~155,轻度污染,80.8,155.9,19.6,0.81,55.2,203,166,26,20,雷阵雨转阵雨,东风,小于3级
2014/5/24,102,87~126,轻度污染,75.7,80,6,1.006,45.9,101,165,30,19,阴转晴,东南风,小于3级转3-4级
2014/5/25,121,45~355,轻度污染,65.5,114.5,2.1,0.669,29,101,112,34,16,晴,西南风,3-4级转小于3级
2014/5/26,66,53~79,良,21.8,76.7,4.6,0.441,54.7,148,58,33,19,晴转多云,西南风,小于3级转4-5级
2014/5/27,103,44~276,轻度污染,34.8,144.6,4,0.381,42.2,114,76,36,19,晴,西北风,4-5级转小于3级
2014/5/28,78,54~116,良,29.9,87,8.3,0.607,54.8,210,79,38,22,多云,南风,小于3级
2014/5/29,96,80~120,良,42.3,115.1,10.3,0.671,60.2,196,90,37,23,多云转晴,东南风,小于3级
2014/5/30,145,88~206,轻度污染,84,171.3,36.9,1.55,53.2,343,134,34,22,多云,东风,小于3级
2014/5/31,161,105~237,中度污染,114.1,215.4,45.2,2.135,57.8,303,159,29,24,阵雨转阴,西风,小于3级
2014/6/1,94,71~165,良,44.5,55.3,2.3,0.627,25.7,179,131,27,19,阴转多云,东风,小于3级
2014/6/2,63,37~95,良,26.4,42.7,2.4,0.443,25.5,163,96,31,17,多云转晴,西风,小于3级
2014/6/3,73,45~119,良,32.7,61.2,13.4,0.567,40.6,194,106,31,20,晴转雷阵雨,东南风,小于3级
2014/6/4,98,70~124,良,52.9,89.4,8.9,0.845,45,217,148,34,21,阴转多云,东北风,小于3级
2014/6/5,100,65~144,良,58.5,93.4,11.2,0.822,41.4,253,131,27,23,雷阵雨转大雨,西南风,小于3级
2014/6/6,76,29~141,良,48.6,70.8,11.7,1.066,39.3,85,76,31,18,阴转多云,西北风,小于3级
2014/6/7,38,18~60,优,9.3,25.9,2.1,0.341,27,102,32,30,17,多云转雷阵雨,东风,小于3级
2014/6/8,57,36~69,良,26.6,58,7.4,0.683,54.4,169,50,30,17,多云转雷阵雨,东风,小于3级
2014/6/9,58,35~83,良,27.1,52.9,6.3,0.595,43,160,72,29,17,多云转雷阵雨,东北风,小于3级
2014/6/10,91,61~116,良,66.6,84.8,6.4,1.168,42.5,154,138,29,17,雷阵雨转晴,东北风,小于3级
2014/6/11,71,29~122,良,39.9,40.7,2.9,0.719,31.9,133,85,34,18,晴,西南风,小于3级
2014/6/12,63,43~87,良,24.4,56.1,5.5,0.509,38.8,146,53,32,21,多云转雷阵雨,东风,小于3级
2014/6/13,95,49~119,良,48.4,84,8.1,0.853,41.1,224,105,32,21,阴转多云,西北风,小于3级
2014/6/14,85,30~160,良,38.4,67.9,3.2,0.64,38.2,252,71,34,22,多云转雷阵雨,东南风,小于3级
2014/6/15,151,115~179,中度污染,101.3,144.9,14.5,1.167,49.3,280,156,28,23,雷阵雨转中雨,西南风,小于3级
2014/6/16,166,121~205,中度污染,125.6,149.2,3.4,1.01,40.5,226,163,28,21,雷阵雨,西南风,小于3级
2014/6/17,126,57~257,轻度污染,87.7,106.6,3.4,0.925,34.7,184,138,30,20,雷阵雨,东北风,小于3级
2014/6/18,87,42~149,良,60.9,72,3.9,0.728,36,222,123,28,20,阴转雷阵雨,西南风,小于3级
2014/6/19,159,122~233,中度污染,120.7,132,5.3,1.161,44.5,175,175,28,19,雷阵雨转阴,东风,小于3级
2014/6/20,71,33~126,良,43.6,37.9,2.4,0.793,27.4,156,125,28,19,多云转雷阵雨,东南风,小于3级
2014/6/21,100,72~119,轻度污染,65.3,63,4.6,0.958,33.7,177,172,27,19,雷阵雨,东北风,小于3级
2014/6/22,60,28~91,良,28.9,41,2.1,0.577,30.7,163,92,31,18,阴转晴,东南风,小于3级
2014/6/23,63,24~112,良,23.3,43.8,2,0.477,37.6,194,85,32,20,晴转多云,南风,小于3级
2014/6/24,97,64~159,良,49.1,86.8,5.7,0.729,51.9,233,129,27,22,雷阵雨,南风,小于3级
2014/6/25,137,91~189,轻度污染,102.2,125,10,1.197,48,145,176,31,21,雷阵雨转阴,南风,小于3级
2014/6/26,176,96~228,中度污染,126.9,50.7,3.8,1.063,33,242,181,34,23,晴,西风,小于3级
2014/6/27,47,22~86,优,18.6,40.5,2.8,0.425,33.9,117,63,36,21,晴,西南风,小于3级
2014/6/28,50,34~68,优,19.4,45.3,5.4,0.434,41.6,133,57,35,22,晴转多云,西风,小于3级
2014/6/29,85,48~155,良,41.6,84.1,10.7,0.999,51.9,240,112,33,23,多云,南风,小于3级
2014/6/30,122,92~180,轻度污染,72.7,120.4,15.4,1.168,52.6,302,157,29,24,阴转大雨,南风,小于3级
2014/7/1,126,84~191,轻度污染,88.8,136.4,17.2,0.996,48.8,238,148,28,21,大雨转阵雨,东北风,小于3级
2014/7/2,84,50~136,良,55.2,57.2,2.9,0.868,27.7,132,133,29,22,阴转雷阵雨,东风,小于3级
2014/7/3,239,139~293,重度污染,189.6,103.3,4.7,1.3,40,195,187,30,23,雷阵雨转多云,东南风,小于3级
2014/7/4,239,192~267,重度污染,187.8,128.3,4.1,1.264,39.8,232,188,31,23,多云转霾,西风,小于3级
2014/7/5,167,119~198,中度污染,124.1,100.1,3.7,1.142,37.9,199,185,31,23,阴转多云,南风,小于3级
2014/7/6,253,221~274,重度污染,202.3,154.5,8,1.353,35.9,212,188,32,24,多云转霾,东风,小于3级
2014/7/7,210,126~274,重度污染,165.4,185.3,8.9,1.167,40.5,210,183,34,24,阴转晴,东南风,小于3级
2014/7/8,150,38~268,中度污染,105.7,123.2,8.7,0.865,40.3,117,133,32,23,多云,北风,小于3级
2014/7/9,60,28~90,良,24.5,69.1,5.9,0.563,54.6,135,87,35,22,多云转晴,西南风,小于3级
2014/7/10,78,43~114,良,27,79.7,7.8,0.505,40.4,201,112,35,24,晴转多云,西南风,小于3级
2014/7/11,62,30~82,良,27.5,67.1,4.8,0.459,39.8,137,73,34,22,多云,东北风,小于3级
2014/7/12,48,22~80,优,12.1,34.8,2.2,0.307,30.6,145,67,35,22,晴转多云,南风,小于3级
2014/7/13,49,25~98,优,16.3,52.3,2.8,0.402,39.5,131,68,36,22,多云转晴,东南风,小于3级
2014/7/14,90,39~155,良,26.2,64,4.5,0.519,43.2,259,117,35,23,多云转雷阵雨,东北风,小于3级
2014/7/15,113,94~141,轻度污染,50.2,106.4,6.9,0.595,27.6,220,173,33,24,多云转雷阵雨,北风,小于3级
2014/7/16,120,88~220,轻度污染,86.5,110.9,4.1,0.805,41.7,207,173,33,23,雷阵雨转多云,东北风,小于3级
2014/7/17,174,78~240,中度污染,132.2,134.6,4.2,1.837,40.5,147,182,35,24,阴转晴,东北风,小于3级
2014/7/18,186,150~249,中度污染,141.8,107,7,1.654,38.2,222,186,35,25,晴,南风,小于3级
2014/7/19,118,76~148,轻度污染,82.1,102.3,2.6,0.759,33.4,178,165,36,26,多云,东南风,小于3级
2014/7/20,98,67~135,良,66.7,91,3.7,0.722,26,197,158,32,26,雷阵雨转中雨,南风,小于3级
2014/7/21,51,26~88,良,26.1,42.5,4.5,0.48,23.8,117,70,31,26,阴,北风,小于3级
2014/7/22,39,25~60,优,11.9,36.6,7.1,0.472,39.6,58,37,32,24,阵雨转多云,西风,小于3级
